,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
13,human erythrocyt protein bind lead ,-8.667053,2.546057,-4.873091,Effects of lead on red blood cell membrane proteins,"['effect', 'lead', 'red', 'blood', 'cell', 'membran', 'protein']",57915,1988,Effects of lead on red blood cell membrane proteins,effect lead red blood cell membran protein,0
44,human erythrocyt protein bind lead ,-8.700743,4.9572277,-5.0178227,Effect of lead on tube formation by cultured human vascular endothelial cells,"['effect', 'lead', 'tube', 'format', 'cultur', 'human', 'vascular', 'endotheli', 'cell']",59113,1995,Effect of lead on tube formation by cultured human vascular endothelial cells,effect lead tube format cultur human vascular endotheli cell,0
51,human erythrocyt protein bind lead ,-8.794774,4.8150263,-4.942736,Inhibitory effect of lead on tube formation by cultured human vascular endothelial cells,"['inhibitori', 'effect', 'lead', 'tube', 'format', 'cultur', 'human', 'vascular', 'endotheli', 'cell']",59137,1997,Inhibitory effect of lead on tube formation by cultured human vascular endothelial cells,inhibitori effect lead tube format cultur human vascular endotheli cell,0
59,human erythrocyt protein bind lead ,-6.647838,4.714518,0.9344111,"Lead exposure activates nuclear factor kappa B, activator protein-1, c-Jun N-terminal kinase and caspases in the rat brain","['lead', 'exposur', 'activ', 'nuclear', 'factor', 'kappa', 'B', 'activ', 'protein-1', 'c-jun', 'n-termin', 'kinas', 'caspas', 'rat', 'brain']",59162,2001,"Lead exposure activates nuclear factor kappa B, activator protein-1, c-Jun N-terminal kinase and caspases in the rat brain",lead exposur activ nuclear factor kappa B activ protein-1 c-jun n-termin kinas caspas rat brain,0
61,human erythrocyt protein bind lead ,-5.936302,4.3001313,-1.252214,Lead exposure raises superoxide and hydrogen peroxide in human endothelial and vascular smooth muscle cells,"['lead', 'exposur', 'rais', 'superoxid', 'hydrogen', 'peroxid', 'human', 'endotheli', 'vascular', 'smooth', 'muscl', 'cell']",59266,2004,Lead exposure raises superoxide and hydrogen peroxide in human endothelial and vascular smooth muscle cells,lead exposur rais superoxid hydrogen peroxid human endotheli vascular smooth muscl cell,0
71,human erythrocyt protein bind lead ,-4.2714686,7.3832445,-2.575481,Inorganic lead activates NF-kappa B in primary human CD4+ T lymphocytes,"['inorgan', 'lead', 'activ', 'nf-kappa', 'B', 'primari', 'human', 'cd4+', 'T', 'lymphocyt']",59472,1996,Inorganic lead activates NF-kappa B in primary human CD4+ T lymphocytes,inorgan lead activ nf-kappa B primari human cd4+ T lymphocyt,0
101,human erythrocyt protein bind lead ,-6.88422,9.04902,-6.5292277,Lead transport and binding by human erythrocytes in vitro,"['lead', 'transport', 'bind', 'human', 'erythrocyt', 'vitro']",72554,1993,Lead transport and binding by human erythrocytes in vitro,lead transport bind human erythrocyt vitro,0
102,human erythrocyt protein bind lead ,-6.7478504,7.619274,-6.498585,The effect of lead ions on the energy metabolism of human erythrocytes in vitro,"['the', 'effect', 'lead', 'ion', 'energi', 'metabol', 'human', 'erythrocyt', 'vitro']",72591,2003,The effect of lead ions on the energy metabolism of human erythrocytes in vitro,the effect lead ion energi metabol human erythrocyt vitro,0
138,human erythrocyt protein bind lead ,-2.0877433,5.3194375,1.6161203,Lead differentially modifies cytokine production in vitro and in vivo,"['lead', 'differenti', 'modifi', 'cytokin', 'product', 'vitro', 'vivo']",73139,1996,Lead differentially modifies cytokine production in vitro and in vivo,lead differenti modifi cytokin product vitro vivo,0
164,human erythrocyt protein bind lead ,-2.0503917,2.3963783,4.40876,Lead content of brain tissue in diffuse neurofibrillary tangles with calcification (DNTC): the possibility of lead neurotoxicity,"['lead', 'content', 'brain', 'tissu', 'diffus', 'neurofibrillari', 'tangl', 'calcif', 'dntc', 'possibl', 'lead', 'neurotox']",73989,2001,Lead content of brain tissue in diffuse neurofibrillary tangles with calcification (DNTC): the possibility of lead neurotoxicity,lead content brain tissu diffus neurofibrillari tangl calcif dntc possibl lead neurotox,0
166,human erythrocyt protein bind lead ,-8.482863,5.218378,-5.1935134,Effects of lead on the kidney: Roles of high-affinity lead-binding proteins,"['effect', 'lead', 'kidney', 'role', 'high-affin', 'lead-bind', 'protein']",74049,1991,Effects of lead on the kidney: Roles of high-affinity lead-binding proteins,effect lead kidney role high-affin lead-bind protein,0
169,human erythrocyt protein bind lead ,-5.290699,9.632722,-5.2860985,Lead-binding proteins in brain tissue of environmentally lead-exposed humans,"['lead-bind', 'protein', 'brain', 'tissu', 'environment', 'lead-expos', 'human']",74067,1995,Lead-binding proteins in brain tissue of environmentally lead-exposed humans,lead-bind protein brain tissu environment lead-expos human,0
171,human erythrocyt protein bind lead ,-6.8328967,8.861277,-6.481435,Studies on lead-binding protein and interaction between lead and selenium in the human erythrocytes,"['studi', 'lead-bind', 'protein', 'interact', 'lead', 'selenium', 'human', 'erythrocyt']",74071,1998,Studies on lead-binding protein and interaction between lead and selenium in the human erythrocytes,studi lead-bind protein interact lead selenium human erythrocyt,0
174,human erythrocyt protein bind lead ,8.525617,0.7832279,8.340998,Respiratory mucosal permeability in asthma,"['respiratori', 'mucos', 'permeabl', 'asthma']",74221,1983,Respiratory mucosal permeability in asthma,respiratori mucos permeabl asthma,0
177,human erythrocyt protein bind lead ,-5.3778906,3.161624,-1.754142,Measurements of environmental lead contamination and human exposure,"['measur', 'environment', 'lead', 'contamin', 'human', 'exposur']",74276,1995,Measurements of environmental lead contamination and human exposure,measur environment lead contamin human exposur,0
